City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Tautira,PF,2021-11-01 00:31:40,-17.7333,-149.15,84.22,73,18,13.49
103,Saint George,US,2021-11-01 00:31:40,37.1041,-113.5841,74.95,30,1,1.01
104,Bessonovka,RU,2021-11-01 00:31:41,53.3097,45.0407,46.98,46,6,6.6
105,Sweetwater,US,2021-11-01 00:31:42,25.7634,-80.3731,79.02,73,1,5.75
106,Severo-Kurilsk,RU,2021-11-01 00:31:42,50.6789,156.125,36.05,58,80,25.23
107,Port Lincoln,AU,2021-11-01 00:29:55,-34.7333,135.8667,70.66,41,0,8.01
108,De-Kastri,RU,2021-11-01 00:31:43,51.4667,140.7833,32.63,43,0,2.01
109,Mattoon,US,2021-11-01 00:31:43,39.4831,-88.3728,48.0,81,1,3.44
110,Maldonado,UY,2021-11-01 00:31:44,-34.6667,-54.9167,63.79,98,100,5.77
111,Napier,NZ,2021-11-01 00:31:44,-39.4833,176.9167,62.28,72,36,8.01
112,Raudeberg,NO,2021-11-01 00:31:45,61.9875,5.1352,49.87,62,100,3.0
113,Kenscoff,HT,2021-11-01 00:31:45,18.4506,-72.2869,68.14,65,14,2.3
114,Bethel,US,2021-11-01 00:31:46,41.3712,-73.414,57.81,87,75,3.0
115,Coahuayana,MX,2021-11-01 00:31:46,18.7333,-103.6833,77.59,81,21,0.51
116,Port Hardy,CA,2021-11-01 00:31:47,50.6996,-127.4199,51.98,50,1,13.8
117,Morehead,US,2021-11-01 00:31:47,37.2711,-87.1764,54.0,85,1,1.99
118,Adamantina,BR,2021-11-01 00:28:30,-21.6853,-51.0725,67.75,86,69,8.25
119,Jega,NG,2021-11-01 00:31:48,12.2175,4.3792,76.3,22,5,6.26
120,Pahalgam,IN,2021-11-01 00:31:48,34.0333,75.3333,35.92,68,100,6.11
121,Lamar,US,2021-11-01 00:31:49,33.6668,-95.5836,67.91,57,1,4.61
122,San Ignacio,BZ,2021-11-01 00:31:49,17.1561,-89.0714,72.09,86,13,4.32
123,Leirvik,NO,2021-11-01 00:26:52,59.7798,5.5005,51.85,67,100,27.07
124,Nanortalik,GL,2021-11-01 00:31:50,60.1432,-45.2371,33.85,68,92,9.78
125,Andra,RU,2021-11-01 00:31:50,62.5147,65.8878,12.96,78,100,6.8
126,Nimaparha,IN,2021-11-01 00:31:51,20.0667,86.0167,73.8,84,57,5.19
127,Pontalina,BR,2021-11-01 00:31:52,-17.525,-49.4472,70.84,84,100,3.91
128,Hovd,MN,2021-11-01 00:31:52,48.0056,91.6419,34.03,31,1,17.02
129,Roald,NO,2021-11-01 00:31:52,62.5833,6.1333,50.32,71,75,5.75
130,Tuktoyaktuk,CA,2021-11-01 00:31:53,69.4541,-133.0374,30.2,74,75,14.97
131,Tessalit,ML,2021-11-01 00:31:53,20.1986,1.0114,81.16,15,1,10.29
132,Delfzijl,NL,2021-11-01 00:31:54,53.33,6.9181,52.02,93,8,5.01
133,Lata,PT,2021-11-01 00:31:54,40.1629,-8.3327,63.05,97,100,3.76
134,Pauini,BR,2021-11-01 00:31:55,-7.7136,-66.9764,76.12,85,92,2.44
135,Oxford,GB,2021-11-01 00:31:55,51.7522,-1.256,50.59,77,88,4.0
136,Souillac,MU,2021-11-01 00:31:56,-20.5167,57.5167,70.36,88,40,5.75
137,Talnakh,RU,2021-11-01 00:31:56,69.4865,88.3972,-13.2,98,81,4.65
138,Muisne,EC,2021-11-01 00:31:57,0.6,-80.0333,76.01,79,68,4.45
139,Cape Town,ZA,2021-11-01 00:31:57,-33.9258,18.4232,64.09,71,40,1.01
140,Muriti,TZ,2021-11-01 00:31:58,-1.9833,32.9167,74.1,68,89,6.51
141,Kodinsk,RU,2021-11-01 00:31:58,58.6881,99.1844,31.6,94,100,7.27
